,std_smiles,canonical_smiles,max_phase,oral,parenteral,prodrug,max_phase_num
2699,Cc1cc(N2CCc3cc(F)ccc3C2)cc(C)c1NC(=O)CC(C)(C)C,Cc1cc(N2CCc3cc(F)ccc3C2)cc(C)c1NC(=O)CC(C)(C)C,3,0,0,0,3
2700,Cc1cc(OCC(=O)O)c(C)cc1CCN[C@@H](C)[C@H](O)c1ccc(O)cc1,Cc1cc(OCC(=O)O)c(C)cc1CCN[C@@H](C)[C@H](O)c1ccc(O)cc1,3,0,0,0,3
2701,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,3,0,0,0,3
2702,Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,3,0,0,0,3
2703,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,3,0,0,0,3
2704,Cc1cc2c(CCc3sc(-c4ccc(C(F)(F)F)cc4)nc3C(C)C)noc2cc1OCC(=O)O,Cc1cc2c(CCc3sc(-c4ccc(C(F)(F)F)cc4)nc3C(C)C)noc2cc1OCC(=O)O,3,0,0,0,3
2705,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,3,0,0,0,3
2706,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)C(C)N)c(C)c34)ccc2[nH]1,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1,3,0,0,1,3
2707,Cc1cc2cc(Oc3ccnc(Nc4cccc(CS(=O)(=O)NCCN(C)C)c4)n3)ccc2[nH]1,Cc1cc2cc(Oc3ccnc(Nc4cccc(CS(=O)(=O)NCCN(C)C)c4)n3)ccc2[nH]1,3,0,0,0,3
2708,Cc1ccc(-c2ncccn2)c(C(=O)N2[C@H]3CC[C@@H](COc4ccc(F)cn4)[C@@H]2CC3)c1,Cc1ccc(-c2ncccn2)c(C(=O)N2[C@H]3CC[C@@H](COc4ccc(F)cn4)[C@@H]2CC3)c1,3,0,0,0,3
2709,Cc1ccc(=O)n(-c2ccc(O)cc2)c1,Cc1ccc(=O)n(-c2ccc(O)cc2)c1,3,0,0,0,3
2710,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,3,0,0,0,3
2711,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,3,0,0,0,3
