smiles,max_phase
CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1.[Cl-],2
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],4
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br,4
O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+],4
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],4
Cc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,4
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,4
CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O,2
CS(=O)(=O)O.Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,4
Cn1c(/C=C/CO)c(CO)c2c1C(=O)C=C(N1CC1)C2=O,3
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,4
CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,4
COc1ccc(CC/N=C2/CCCN2C)cc1OC,2
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],4
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,4
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,4
CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(O)c(OC)c1,2
CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[n+]([O-])c3C)CC2)CC1,2
CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],4
CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,4
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1.CS(=O)(=O)O,3
CCOC(=O)Oc1ccc(/C=C/C=C/C(=O)NCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1OC,2
COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,2
[Cl-].[Cl-].c1ccc(-c2nn(-c3ccccc3)[n+](-c3ccc(-c4ccc(-[n+]5nc(-c6ccccc6)nn5-c5ccccc5)cc4)cc3)n2)cc1,1
COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,3
Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4ccc(N(CCCl)CCCl)cc4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,2
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,4
O=C(O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,2
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,4
O=C(O)/C=C/c1nc(CSc2c(Cl)cccc2Cl)ccc1OCCc1ccccc1,2
COc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC)c(OC)c2)cc1OC,2
CCCc1c(OCCCOc2cc(O)c(-c3ccc(F)cc3)cc2CC)cccc1Oc1ccccc1C(=O)O,2
O=C(O)[C@H]1CN(C/C=C/P(=O)(O)O)CCN1,2
c1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2,2
COc1cc(C(=O)N(C(C)C)C(C)C)ccc1OCCCCCOc1ccc(C(=N)N)cc1,2
C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,4
O=C(O)[C@@H](c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCC1,3
O=C1CN(/N=C/c2ncc(-c3ccc(Br)cc3)o2)C(=O)N1,2
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,4
CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,3
CCn1c(=O)c2ccccc2n(-c2cccc([N+](=O)[O-])c2)c1=O,2
CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1,2
COc1ccc(C(CC(N)=O)N2C(=O)c3ccccc3C2=O)cc1OC1CCCC1,2
CCOC(=O)c1nc(=O)c2cc3cc(OC)c(OC)cc3nc2[nH]1,2
Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,4
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,4
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4
Cc1cccc(C)c1NC(=O)C1CCCCN1C,4
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,4
NNCCc1ccccc1,4
CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,4
CN(C)CCOC(c1ccccc1)c1ccnn1C,2
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,4
O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,2
CC(=O)OCC/C(SC(C)=O)=C(/C)N(C=O)Cc1cnc(C)nc1N,2
C=CCN1C(=O)OC(C)C1=O,2
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,4
Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4
NC(=O)N(CCO)/N=C/c1ccc([N+](=O)[O-])o1,2
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,4
CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1,3
CCS(=O)(=O)c1ccc(F)cc1,2
NC(=O)OCC(COC(N)=O)c1ccccc1,4
CCN1C(=O)NC(c2ccccc2)C1=O,4
CCC1(CC)C(=O)NC(=O)N(c2ccccc2)C1=O,2
CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,2
CCN(CC)CCC1(c2ccccc2)C(=O)Oc2ccccc21,2
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,4
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,2
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2
O=[N+]([O-])c1ccc(Nc2ccc(N=C=S)cc2)cc1,2
