molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
1378789,CHEMBL2106519,2,NC(=O)CN1C(=O)C(c2ccccc2)c2ccccc21,MVZYGLQQNPFARE-UHFFFAOYSA-N,266.3,266.3,1.65,2,1,63.4,3,0,2,20,0.92,-0.68,0,0,N,0,0,0
1378790,CHEMBL2106520,2,CC(=O)OCC(=O)[C@@]1(OC(C)=O)CC[C@H]2[C@@H]3C[C@@H](F)C4=CC(=O)C(Br)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,YCISZOVUHXIOFY-HKXOFBAYSA-N,559.4,559.4,3.46,7,1,106.97,4,1,0,35,0.53,1.68,0,0,N,0,0,0
1378791,CHEMBL2106521,-1,CCCCOc1ccc(C(=O)OCCOCCN(CC)CC)cc1N.Cl,LHWHZGUJAWCAIQ-UHFFFAOYSA-N,352.48,388.94,2.96,6,1,74.02,13,0,1,25,0.33,-0.95,0,0,N,0,0,0
1378794,CHEMBL2106524,2,O=C(c1ccccc1)N1CC2COCC2C1,ZSYULWHBPBAOKV-UHFFFAOYSA-N,217.27,217.27,1.41,2,0,29.54,1,0,1,16,0.71,-0.69,0,0,Y,0,0,0
1378795,CHEMBL2106525,-1,CO/N=C/[C@@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1N2C.O=C(O)/C=C\C(=O)O,XVXRAWKEYKMWFS-YGPNHCCBSA-N,327.26,443.33,4.19,3,0,24.83,3,0,1,21,0.61,-0.11,0,0,N,0,0,0
1378796,CHEMBL2106526,2,CCN(C)C(C)C=C(c1cccs1)c1cccs1,MORSAEFGQPDBKM-UHFFFAOYSA-N,277.46,277.46,4.58,3,0,3.24,5,0,2,18,0.77,-0.84,1,0,N,0,0,0
1378797,CHEMBL2106527,2,CC(C)C1CCC(C)C(c2ccc(O)cc2)C1,NMXDTPBZWZGMMO-UHFFFAOYSA-N,232.37,232.37,4.57,1,1,20.23,2,0,1,17,0.79,1.36,0,0,N,0,0,0
1378798,CHEMBL2106528,2,Cc1cc(OCCC[N+](C)(C)Cc2ccc(Br)cc2)c(C(C)C)cc1Cl.[Cl-],ISVREOQRBYZKHL-UHFFFAOYSA-M,439.85,475.3,6.58,1,0,9.23,8,1,2,26,0.33,-0.53,0,0,N,0,0,0
1378799,CHEMBL2106529,2,C/C=C/C(=O)N(CCC)C(CC)C(=O)N(C)C,CYZWCBZIBJLKCV-RMKNXTFCSA-N,240.35,240.35,1.67,2,0,40.62,6,0,0,17,0.66,-0.73,0,0,N,0,0,0
1378800,CHEMBL2106530,2,O=C(N/N=C/C=C/c1ccc([N+](=O)[O-])o1)c1ccc([N+](=O)[O-])s1,IDUMOVRJNBNOTR-BIZLIJPVSA-N,336.29,336.29,2.59,8,1,140.88,6,0,2,23,0.49,-1.96,0,0,N,0,0,0
1378801,CHEMBL2106531,2,C/C=C(\C)c1ccc(OC(C)=O)cc1,SALPXBRLSNRTNE-RUDMXATFSA-N,190.24,190.24,3.04,2,0,26.3,2,0,1,14,0.53,0.61,0,0,N,0,0,0
1378802,CHEMBL2106532,2,CCCNC(=O)C(C)Nc1ccc(OCC)cc1,VVUMWAHNKOLVSN-UHFFFAOYSA-N,250.34,250.34,2.41,3,2,50.36,7,0,1,18,0.78,-1.62,0,0,N,0,0,0
1378803,CHEMBL2106533,2,C/C(=C(/CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,AZJUFRDUYTYIHV-PTGBLXJZSA-N,490.59,490.59,4.38,8,1,115.48,10,0,3,35,0.33,-0.07,0,0,N,0,0,0
1378806,CHEMBL2106536,2,O=C1N=C(NC2CC2)OC1c1ccccc1,DNRKTAYPGADPGW-UHFFFAOYSA-N,216.24,216.24,1.39,3,1,50.69,2,0,1,16,0.81,-0.03,0,0,Y,0,0,0
1378807,CHEMBL2106537,2,Cc1cc(CCN2CCN(c3cccc(Cl)c3)CC2)n[nH]1,DOTIMEKVTCOGED-UHFFFAOYSA-N,304.82,304.82,2.74,3,1,35.16,4,0,2,21,0.94,-2.18,1,0,N,0,0,0
1378808,CHEMBL2106538,2,CCCC(=O)O[C@]1(C(C)=O)CCC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,IYBYNRHXGXDDDS-VRRJBYJJSA-N,428.57,428.57,4.33,5,1,80.67,4,0,0,31,0.67,2.2,0,0,N,0,0,0
1378810,CHEMBL2106540,2,CCOC(=O)C1(c2ccccc2)CCN(CC(O)c2ccccc2)CC1,DBDXZFAMJLGFGD-UHFFFAOYSA-N,353.46,353.46,3.32,4,1,49.77,6,0,2,26,0.81,-0.61,0,0,N,0,0,0
1378811,CHEMBL2106541,-1,CCN(CC)CCOC(=O)C(c1ccccc1)N1CCCCC1.Cl,XZKSTBXJKGLMLG-UHFFFAOYSA-N,318.46,354.92,3.1,4,0,32.78,8,0,1,23,0.69,-1.21,0,0,N,0,0,0
1378812,CHEMBL2106542,-1,CC(Cc1ccccc1)NN.Cl,HXCTUSBYMZQLKB-UHFFFAOYSA-N,150.22,186.69,1.08,2,2,38.05,3,0,1,11,0.5,-0.45,0,0,Y,0,0,0
